City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,hambantota,6.1241,81.1185,24.19,100,20,1.03,LK,1681348305
131,geraldton,-28.7667,114.6,18.23,82,40,5.14,AU,1681348305
132,salinopolis,-0.6136,-47.3561,25.85,88,72,3.2,BR,1681348306
133,barabai,-2.5833,115.3833,27.82,82,63,0.93,ID,1681348306
134,luganville,-15.5333,167.1667,29.45,73,54,2.73,VU,1681348306
135,porto walter,-8.2686,-72.7439,23.81,91,85,0.87,BR,1681348275
136,ponta do sol,32.6667,-17.1,17.62,73,9,3.33,PT,1681348307
137,najran,17.4924,44.1277,23.95,51,17,2.28,SA,1681348307
138,sorland,67.667,12.6934,6.92,81,100,8.19,NO,1681348307
139,mahebourg,-20.4081,57.7,24.03,85,8,1.94,MU,1681348307
140,jaru,-10.4389,-62.4664,23.16,94,100,0.41,BR,1681348308
141,bathsheba,13.2167,-59.5167,26.34,69,40,6.69,BB,1681348308
142,lebu,-37.6167,-73.65,12.72,94,57,2.36,CL,1681348308
143,klaksvik,62.2266,-6.589,7.51,86,100,9.56,FO,1681348308
144,dikson,73.5069,80.5464,-21.77,92,24,8.28,RU,1681348308
145,lesozavodsk,45.4794,133.4244,7.49,31,0,5.34,RU,1681348309
146,mogadishu,2.0371,45.3438,27.89,76,100,5.25,SO,1681348309
147,souillac,-20.5167,57.5167,25.24,87,6,1.8,MU,1681348309
148,tuy hoa,13.0833,109.3,29.11,70,58,1.75,VN,1681348310
149,fukue,32.6881,128.8419,16.28,48,96,2.22,JP,1681348310
150,kysyl-syr,63.8986,122.7617,-5.59,93,100,1.42,RU,1681348310
151,satis,54.9229,43.2298,7.98,63,100,2.93,RU,1681348310
152,constitucion,-35.3333,-72.4167,11.94,94,72,1.71,CL,1681348310
153,faanui,-16.4833,-151.75,28.09,70,19,4.07,PF,1681348311
154,hithadhoo,-0.6,73.0833,28.24,69,22,1.5,MV,1681348311
155,umm lajj,25.0213,37.2685,19.48,41,0,4.68,SA,1681348311
156,nikolskoye,59.7035,30.7861,5.94,82,98,3.99,RU,1681348311
157,lichinga,-13.3128,35.2406,16.37,98,100,2.25,MZ,1681348311
